text,category,urgency,rule_prediction,final_prediction
special offer discover items shop new styles example com code birthday extra,promotions,low,low,low
sarah johnson mentioned comment story sydney received likes comments see insights social com insights post,social_media,low,low,low
wiki edit approved gaming database upgrade completed successfully new features new search notifications faq forum com thread,forum,low,low,low
new device approval access code password reset valid,verify_code,high,high,high
last chance warehouse clearance hello valued member enjoy extra clearance shop example com expires date,promotions,low,low,low
software license compliance audit initiated vendor oracle corporation respond within days portal license audit management com case orc,updates,low,low,low
anniversary linkedin college reunion photos view album platform com memories beach,social_media,low,low,low
hour sale free shipping week celebrate entire purchase valid example com code vip,promotions,low,low,low
service interruption resolved hotel booking biometric login activated per request learn banking com statements,updates,medium,medium,medium
netflix payment declined account suspension imminent update payment method netflix billing fix paynow,spam,medium,low,medium
birthday reminder friends week group update photography group posted video trending digital artists favorite tech tools,social_media,low,medium,low
delivery rescheduled order service unavailable window updates include security patches performance improvements,updates,medium,medium,medium
vip preview summer sale deal ends time items lowest prices shop example com use code birthday,promotions,low,medium,low
lunar regolith processing techniques isru oxygen extraction methods wiki space resources wiki volatile content analysis,forum,low,low,low
watch later recommended article inspiring view social com notifications reply disable platform com notifications,social_media,low,low,low
limited stock back stock favorite items back wait example com use code birthday,promotions,low,low,low
irs tax refund approval immediate action required subscription payment failed update payment phishing site com call support,spam,medium,low,medium
urgent claim prize refund processed claim phishing site com complete within hrshrs,spam,high,low,high
reactions comment tech news agreed regulation crucial likes hearts thread social com comments,social_media,low,low,low
weekend hotel getaway select resorts travel com weekend escapes code escape,promotions,low,low,low
memories week photo paris received likes comments see insights social com insights post,social_media,low,low,low
identity check prove ownership session expires min,verify_code,low,low,low
appointment reminder smith dec gmt confirm cancel service com status payment due date building,updates,medium,medium,medium
inheritance claim late relative microsoft requires immediate password update click bit fakeprize failure within hrshrs causes lockout,spam,high,low,high
community announcement new policy thank payment applied account receipt company com updates,updates,low,medium,low
member exclusive extra clearance discover items shop new styles example com code save extra,promotions,low,low,low
forum maintenance complete thread discussion moved general support continue support site ticket,forum,low,low,low
auto payment failed subscription monthly statement available view download service com status action needed payment scheduled,updates,medium,high,medium
scheduled maintenance dec est new features security updates install company com updates changelog included,updates,medium,medium,medium
programming reply database query thread discussion moved general support continue wiki site page,forum,low,low,low
temporary pin access code account verification valid,verify_code,low,high,low
forum maintenance complete thread discussion started datawiz settings forum com thread,forum,low,low,low
verification pin enter confirm account recovery request ignore,verify_code,medium,medium,medium
multi factor code mfa code vpn access generated gmt,verify_code,low,low,low
achievement unlocked trusted contributor database upgrade completed successfully new features new search notifications faq wiki site page,forum,low,low,low
post moved programming help report per report details wiki site page,forum,low,low,low
birthday reminder friends next week love view social com notifications reply disable platform com notifications,social_media,low,medium,low
refer friends get credit celebrate entire purchase valid example com code vip,promotions,low,low,low
birthday reminder friends week group hiking buddies live streaming join social com live conference,social_media,low,medium,low
birthday reminder friends week friends checked tech hub see photos menu social com places cafe,social_media,low,medium,low
watch later recommended article story sydney received likes comments see insights social com insights post,social_media,low,low,low
new reply database optimization user pixelartist posted helpful solution view support site ticket,forum,low,low,low
wiki edit approved gaming trending books comments view wiki site page,forum,low,low,low
safety recall model july statement available view download company com updates action needed payment scheduled,updates,medium,medium,medium
double rewards points today loyal customer get exclusive example com offer code welcome,promotions,low,low,low
scheduled maintenance oct pst thank payment applied account receipt banking com statements,updates,medium,low,medium
microsoft transfer confirmation enter verify account recovery session auto cancel invalid attempts,verify_code,medium,medium,medium
anniversary discount discover items shop new styles example com code welcome extra,promotions,low,low,low
mod application open book club thread discussion moved general support continue forum com thread,forum,low,low,low
forum digest techsupport discussions report per report details support site ticket,forum,low,low,low
new friend request sarah johnson view profile platform com users sarah accept reject platform com requests,social_media,medium,medium,medium
inheritance claim late relative dear winner email annual lottery click scam delivery com claim hrs expire unsubscribe,spam,low,low,low
new friend request mike chen group tech enthusiasts live streaming join platform com streaming event,social_media,medium,medium,medium
secure access number use verification code device samsung galaxy location seattle,verify_code,low,high,low
suspicious activity microsoft account macbook air logged hrs minutes ago verify bit fakeprize secure account,spam,low,low,low
appointment reminder eye exam nov pst confirm cancel company com updates phone number building,updates,medium,medium,medium
poll vote favorite tech tools see article social com posts photo comments love disable notifications platform com notifications,social_media,low,low,low
scheduled maintenance aug gmt hotel booking main pool closed aug maintenance nov pst assignment confirmed manage booking company com updates,updates,medium,medium,medium
email change token confirm new email address valid min,verify_code,medium,medium,medium
renew paypal subscription dear winner email annual lottery click phishing site com claim hrs expire unsubscribe,spam,low,low,low
refer friends get credit loyal customer get exclusive example com offer code flash,promotions,low,low,low
new featured guide cooking event starts time prepare wiki site page,forum,low,low,low
anniversary social platform see photo social com posts photo comments great insight disable notifications platform com notifications,social_media,low,low,low
secure key rotation master encryption key regeneration confirmation system wide encryption scheduled upon confirmation estimated downtime minutes peak hours,verify_code,medium,medium,medium
authentication token access code account verification valid,verify_code,low,high,low
membership upgrade delivered achieved confirm cancel company com updates phone number building,updates,medium,medium,medium
answered query general discussion report per report details wiki site page,forum,low,low,low
early access holiday deals start favorite items back wait example com use code birthday,promotions,low,low,low
new featured guide photography thread discussion started codemaster settings forum com thread,forum,low,low,low
post got new reactions group photography group invited rsvp platform com events workshop,social_media,low,low,low
memories week post london received likes comments see insights platform com analytics content,social_media,low,low,low
news john smith started new position group photography group live streaming join platform com streaming event,social_media,low,low,low
ticket resolved password reset issue fixed survey support site com tickets,updates,high,high,high
refer friends earn share unique link brand com refer user friend receive credit first purchase limit referrals month platinum members get double bonus,promotions,low,low,low
free shipping hotel stay celebrate entire purchase valid example com code welcome,promotions,low,low,low
usps address validation required undeliverable packages accumulating confirm address usps address confirm mail ref addr future shipments suspended address database updated current residency proof,spam,medium,low,medium
featured project iot home automation raspberry project featured homepage view makerforum com showcase project,forum,low,low,low
birthday reminder friends tomorrow article new york received likes comments see insights social com insights post,social_media,low,medium,low
new messages photography group chat great insight view social com events event reply disable platform com notifications,social_media,low,low,low
forum contest photo contest thread per report details wiki site page,forum,low,low,low
github verification enter confirm new device registration request ignore,verify_code,medium,medium,medium
email binding code pin required login confirmation microsoft,verify_code,medium,medium,medium
community governance moderator elections open participate forum governance nominating candidates moderator positions requirements quality posts months activity exemplary conduct record submit nominations community governance com nominations election process includes candidate statements town hall debates ranked choice voting elected moderators receive lifetime premium status early feature access governance voting rights election calendar nominations close oct voting oct results nov review candidate evaluation criteria,forum,low,medium,low
linkedin workspace verification use verification code device iphone pro location los angeles,verify_code,low,high,low
ama session researcher earned achievement badge view profile support site ticket,forum,low,low,low
user spotlight member spotlight user webdev comment forum com thread,forum,low,low,low
news john smith started new position group photography group live streaming join social com live conference,social_media,low,low,low
double rewards points weekend celebrate entire purchase valid example com code welcome,promotions,low,low,low
smart apartment package tech bundle nest hue ring bundle val new residents smartliving apttech com package financing available,promotions,low,low,low
event invitation webinar aug group book club live streaming join platform com streaming event,social_media,low,low,low
data usage alert monthly quota restaurant new hours effective immediately nov pst assignment confirmed manage booking service com status,updates,high,medium,high
post featured traveldiaries friends checked downtown cafe see photos menu social com places cafe,social_media,low,low,low
early access new arrivals start hello valued member enjoy free shipping week shop example com expires date,promotions,low,low,low
credit limit increased new limit effective immediately banking com credit cards,updates,high,low,high
coinbase withdrawal auth crypto withdrawal requested confirmation code timeout seconds,verify_code,medium,medium,medium
post featured foodchallenge thanks sharing view social com notifications reply disable platform com notifications,social_media,low,low,low
order cancelled service unavailable window updates include security patches performance improvements,updates,low,medium,low
crypto opportunity roi guaranteed see messaged paypal view scam delivery com special offer membership,spam,low,low,low
news groups follow view profile social com profile john accept reject platform com requests,social_media,low,medium,medium
double rewards bonanza week long event activate rewards purchases monday sunday category restrictions earn accelerated points every transaction gold tier members receive additional redemption bonus gift cards travel activate offer rewardsportal com bonanza event user special bonus complete purchases unlock spree reward choice premium bluetooth speaker gift card refer friends event triple referral bonuses points expiration paused participants promotion period,promotions,low,low,low
end summer blowout pool gear outdoors com summer end,promotions,low,low,low
memory highlight travel adventure revisit iceland trip week last year newly compiled highlights include photos videos location map share curated memory book travel companions remix new footage view compilation social com memories iceland trip enable auto memory creation settings weekly highlights,social_media,low,low,low
live alert workshop behind scenes video london received likes comments see insights platform com analytics content,social_media,high,low,high
new device approval code login confirmation share requested est,verify_code,medium,medium,medium
new arrivals fall fashion live loyal customer get exclusive example com offer code birthday,promotions,low,low,low
service interruption resolved abc airlines yesterday server maintenance fixed systems operational apologies inconvenience,updates,low,low,low
agricultural control token gmo crop containment bypass code valid controlled testing plot environmental monitoring activated usage department agriculture notification required,verify_code,low,low,low
new reply react performance database upgrade completed successfully new features new search notifications faq wiki site page,forum,low,low,low
linkedin transfer confirmation use code complete sign expires minutes,verify_code,medium,medium,medium
identity confirmation account verification enter share number,verify_code,medium,high,medium
safety recall model restaurant new hours effective immediately sep pst assignment confirmed manage booking service com status,updates,medium,medium,medium
linkedin profile restriction automated activity detected verify human usage linkedin restriction verify profile url com yourprofile connection requests messaging features disabled pending verification,spam,medium,low,medium
post featured traveldiaries see photo platform com content video comments great insight disable notifications platform com notifications,social_media,low,low,low
thread locked reason user pixelartist comment forum com thread,forum,low,low,low
delivery problem apple requires immediate password update click bit fakeprize failure within hrshrs causes lockout,spam,high,low,high
member exclusive buy one get one free celebrate entire purchase valid example com code welcome,promotions,low,low,low
last chance warehouse clearance hello valued member enjoy buy one get one free shop example com expires date,promotions,low,low,low
forum digest linux discussions user webdev post support site ticket,forum,low,low,low
international whaling commission observation log annual whaling activity report iwc int reports vessel log confidential publication,updates,low,low,low
verification pin use code complete sign expires minutes,verify_code,low,low,low
new device approval code password reset share requested est,verify_code,high,high,high
email binding code use verification code device samsung galaxy location chicago,verify_code,low,high,low
vip preview clearance event discover items shop new styles example com code flash extra,promotions,low,medium,low
final notice netflix end unusual login detected russia secure account scam delivery com account suspended,spam,high,low,high
inquiry following mortgage application rates dropped apply fakeloan site stop opt,spam,low,low,low
google egift card loyal customers dear winner email annual lottery click bit fakeprize claim hrs expire unsubscribe,spam,low,low,low
moderation notice community guidelines update thread discussion moved general support continue wiki site page,forum,low,medium,low
thread locked reason post per report details support site ticket,forum,low,low,low
snapchat data breach private snaps exposed secure snapchat privacy lock social case,spam,low,low,low
post moved general discussion thread discussion started pixelartist settings wiki site page,forum,low,low,low
clearance madness home decor hello valued member enjoy free shipping week shop example com expires date,promotions,low,low,low
holiday discount loyal customer get exclusive example com offer code save,promotions,low,low,low
vip preview new arrivals favorite items back wait example com use code save,promotions,low,medium,low
triple rewards electronics points laptops phones tvs activate techstore com triple rewards valid thru friday,promotions,low,low,low
answered query career advice user codemaster posted helpful solution view wiki site page,forum,low,low,low
github transfer confirmation enter confirm password reset request ignore,verify_code,medium,high,medium
anniversary special extra clearance loyal customer get exclusive example com offer code welcome,promotions,low,low,low
new friend request sarah johnson thanks sharing view social com notifications reply disable social com settings,social_media,low,medium,low
flash sale tools celebrate entire purchase valid example com code save,promotions,low,low,low
membership upgrade processing achieved restaurant new hours effective immediately sep gmt assignment confirmed manage booking company com updates,updates,medium,medium,medium
temporary pin use verification code device iphone pro location new york,verify_code,low,high,low
scheduled maintenance sep pst service unavailable window updates include bug fixes new features,updates,medium,medium,medium
anniversary discount favorite items back wait example com use code flash,promotions,low,low,low
anniversary discount loyal customer get exclusive example com offer code flash,promotions,low,low,low
news groups follow group hiking buddies live streaming join social com live conference,social_media,low,low,low
live meetup keynote see photo social com posts photo comments great insight disable notifications social com settings,social_media,low,low,low
new reply python coding challenge earned achievement badge view profile forum com thread,forum,low,low,low
creator fund bonus opportunity content qualifies september engagement bonus program post times week earn based view duration shares eligibility requires using new interactive stickers closed captions check dashboard personalized goals creatorportal com bonus program top performers featured spotlight series,social_media,low,low,low
new friend request lisa rodriguez alex great event today lisa amazing post reply social com chats hiking,social_media,medium,medium,medium
nearby product launch today story paris received likes comments see insights social com insights post,social_media,low,low,low
payment received invoice inv items delivered via fedex tracking estimated delivery oct track service com status,updates,medium,low,medium
data usage alert monthly quota new features security updates install company com updates changelog included,updates,high,medium,high
paypal password expiration dear winner email annual lottery click phishing site com claim hrs expire unsubscribe,spam,high,low,high
google subscription suspended immediate action required subscription payment failed update payment scam delivery com call support,spam,high,low,high
new friend request lisa rodriguez view profile platform com users sarah accept reject platform com requests,social_media,medium,medium,medium
software update available service unavailable window updates include security patches performance improvements,updates,low,medium,low
renew amazon subscription ipad pro logged hrs minutes ago verify phishing site com secure account,spam,low,low,low
story reaction views morning workout story see viewers social com stories views,social_media,low,low,low
user spotlight member spotlight thread per report details support site ticket,forum,low,low,low
event reminder workshop report per report details forum com thread,forum,low,medium,low
memories week group update book club posted story trending startup founders best summer destination,social_media,low,medium,low
new device approval access code login confirmation valid,verify_code,medium,medium,medium
wiki edit approved books database upgrade completed successfully new features new search notifications faq support site ticket,forum,low,low,low
policy update terms service changes new features dark mode performance boost install service com status changelog included,updates,low,medium,low
backup code regeneration new emergency codes generated old codes invalid,verify_code,high,low,high
software update available august statement available view download banking com statements action needed payment scheduled,updates,medium,medium,medium
thread locked reason thread discussion moved general support continue support site ticket,forum,low,low,low
live interview startup founder streaming min set reminder social com live founder interview,social_media,low,medium,low
wire transfer code initiated transfer bank america verification code valid min,verify_code,low,high,low
new thread technical support matches alert earned achievement badge view profile support site ticket,forum,high,low,high
event invitation webinar aug group update tech enthusiasts posted article trending digital artists weekend plans,social_media,low,medium,low
nearby product launch today great insight view social com notifications reply disable platform com notifications,social_media,low,low,low
gaming reply graphics driver thread discussion moved general support continue forum com thread,forum,low,low,low
live alert meetup behind scenes video new york received likes comments see insights platform com analytics content,social_media,high,low,high
generative poetry engine beta test nlp algorithm verse creation access metricalmuse api key required,social_media,low,low,low
anniversary special free shipping week celebrate entire purchase valid example com code flash,promotions,low,low,low
limited stock back stock celebrate entire purchase valid example com code birthday,promotions,low,low,low
last chance black friday july favorite items back wait example com use code welcome,promotions,low,low,low
service credit applied service credit added recent inconvenience expires dec account com credits,updates,low,low,low
new messages tech enthusiasts chat group update hiking buddies posted story trending remote workers favorite tech tools,social_media,low,medium,low
new device approval enter confirm payment confirmation request ignore,verify_code,medium,medium,medium
twitter transfer confirmation enter verify password reset session auto cancel invalid attempts,verify_code,high,high,high
popular near tech conference group update tech enthusiasts posted post trending digital artists weekend plans,social_media,low,medium,low
invoice available refund processed claim bit fakeprize complete within hrshrs,spam,medium,low,medium
policy update terms service changes confirm cancel service com status address building,updates,medium,medium,medium
delivery rescheduled order biometric login activated per request learn company com updates,updates,medium,medium,medium
new featured guide gaming report per report details support site ticket,forum,low,low,low
audio documentary contribute city sounds urban echoes project needs field recordings upload openears soundscape city sound submit audio standards pdf,social_media,low,medium,low
verification code token expires pst support contact,verify_code,low,high,low
community announcement pool closure hotel booking new hours effective immediately aug midnight assignment confirmed manage booking company com updates,updates,low,medium,low
new featured guide programming revised rules effective immediately key changes citation requirements news posts review support site ticket,forum,low,medium,low
microsoft authenticator enter confirm payment confirmation request ignore,verify_code,medium,medium,medium
irs tax refund approval invoice inv ready view phishing site com dispute within hrshrs,spam,medium,low,medium
irs tax refund approval eligible tax refund claim irs refund claims gov confirm identity immediately,spam,medium,low,medium
new reply home server setup database upgrade completed successfully new features new search notifications faq forum com thread,forum,low,low,low
user spotlight member spotlight trending techsupport comments view support site ticket,forum,low,low,low
new follower sarah johnson mike anyone free weekend lisa amazing post reply platform com messages group,social_media,low,low,low
mike chen liked post view profile social com profile john accept reject social com friends pending,social_media,low,low,low
authentication token pin required transaction authorization facebook,verify_code,low,low,low
new messages book club chat thanks sharing view social com profile user reply disable platform com notifications,social_media,low,low,low
scheduled maintenance nov gmt items shipped via ups tracking estimated delivery oct track service com status,updates,medium,low,medium
appointment reminder haircut dec midnight service unavailable window updates include bug fixes new features,updates,medium,medium,medium
order processing car rental main pool closed aug maintenance sep midnight assignment confirmed manage booking banking com statements,updates,medium,medium,medium
expired license renewal required software license expired renew soft renew pro face legal action,spam,low,low,low
identity confirmation code login confirmation share requested pst,verify_code,medium,medium,medium
mod application open technical support user pixelartist report support site ticket,forum,low,low,low
appointment confirmed nov pst august statement available view download service com status action needed payment scheduled,updates,medium,medium,medium
authentication token use code complete sign expires minutes,verify_code,low,low,low
new thread career advice matches alert user techguru posted helpful solution view support site ticket,forum,high,low,high
reservation confirmed abc airlines service unavailable window updates include bug fixes new features,updates,medium,medium,medium
new event workshop beach vacation family view album social com albums vacation,social_media,low,low,low
john smith liked story thanks sharing view social com events event reply disable social com settings,social_media,low,low,low
section moderator needed apply web development forum com mods apply dev section,forum,low,medium,low
urgent claim prize dear winner email annual lottery click scam delivery com claim hrs expire unsubscribe,spam,high,low,high
live product launch keynote college reunion photos view album social com albums vacation,social_media,low,low,low
forum maintenance complete revised rules effective immediately key changes citation requirements news posts review wiki site page,forum,low,medium,low
vip preview clearance event favorite items back wait example com use code save,promotions,low,medium,low
free airpods survey package delivered tracking update bit fakeprize ignore,spam,low,low,low
new messages hiking buddies chat group book club invited rsvp platform com events workshop,social_media,low,low,low
free macbook pro survey unusual login detected russia secure account phishing site com account suspended,spam,high,low,high
important address changed yesterday network connectivity problem fixed systems operational apologies inconvenience,updates,low,low,low
forum contest photo contest trending cooking comments view forum com thread,forum,low,low,low
appointment reminder smith oct est biometric login activated per request learn service com status,updates,medium,medium,medium
new thread career advice matches alert user webdev posted helpful solution view forum com thread,forum,high,low,high
david kim mentioned comment group update book club posted photo trending remote workers favorite tech tools,social_media,low,medium,low
new messages book club chat group book club live streaming join platform com streaming event,social_media,low,low,low
irs tax refund approval following paypal application rates dropped apply scam delivery com stop opt,spam,low,low,low
identity verification required access code password reset valid,verify_code,high,high,high
appointment reminder dentist sep gmt august statement available view download banking com statements action needed payment scheduled,updates,medium,medium,medium
free dessert hotel stay favorite items back wait example com use code vip,promotions,low,low,low
post featured foodchallenge group update book club posted story trending startup founders best summer destination,social_media,low,medium,low
security notice suspicious login blocked new features security updates install service com status changelog included,updates,high,high,high
hour sale buy one get one free deal ends time items lowest prices shop example com use code vip,promotions,low,low,low
last chance black friday july celebrate entire purchase valid example com code welcome,promotions,low,low,low
apple used new device following google application rates dropped apply scam delivery com stop opt,spam,low,low,low
paypal security alert account frozen google requires immediate password update click scam delivery com failure within hrshrs causes lockout,spam,high,low,high
membership upgrade processing achieved confirm cancel banking com statements payment due date building,updates,medium,medium,medium
forum digest gaming discussions thread discussion moved general support continue wiki site page,forum,low,low,low
thread locked reason user datawiz posted helpful solution view forum com thread,forum,low,high,low
ama session researcher thread discussion started codemaster settings wiki site page,forum,low,low,low
john smith liked video great insight view social com notifications reply disable social com settings,social_media,low,low,low
suspicious activity google account see messaged microsoft view phishing site com special offer membership,spam,low,low,low
historic sword smithing course forge century longsword days ancientarms org metallurgy lessons included,promotions,low,low,low
service outage resolved activated per request learn banking com statements,updates,medium,medium,medium
new message secret admirer invoice inv ready view bit fakeprize dispute within hrshrs,spam,medium,low,medium
poll vote best summer destination group travel lovers new poll santorini bali costa rica vote social com polls,social_media,low,low,low
microsoft authenticator pin required login confirmation facebook,verify_code,medium,medium,medium
new follower john smith alex anyone free weekend emily count reply platform com messages group,social_media,low,low,low
linkedin verification pin required account verification linkedin,verify_code,low,high,low
appointment confirmed aug midnight thank payment applied account receipt service com status,updates,medium,medium,medium
climate modeling workflow documentation project improve cmip pipeline docs github issues climate modeling doc repo assign tickets fix,forum,low,low,low
new reply database optimization earned achievement badge view profile forum com thread,forum,low,low,low
appointment reminder smith sep gmt restaurant new hours effective immediately aug pst assignment confirmed manage booking banking com statements,updates,medium,medium,medium
github transfer confirmation security code enter sign page expires minutes contact support,verify_code,medium,high,medium
post featured techtips article tokyo received likes comments see insights social com insights post,social_media,low,low,low
security alert failed login attempts macbook air logged hrs minutes ago verify scam delivery com secure account,spam,high,low,high
post got new reactions college reunion photos view album social com albums vacation,social_media,low,low,low
watch later recommended post group tech enthusiasts live streaming join platform com streaming event,social_media,low,low,low
memories week group hiking buddies invited rsvp platform com events workshop,social_media,low,low,low
mental health chatbot training corpus improve therapeutic responses contribute empathetic help anonymization standard,social_media,low,low,low
hour sale free shipping week discover items shop new styles example com code flash extra,promotions,low,low,low
refer friends get credit deal ends time items lowest prices shop example com use code vip,promotions,low,low,low
reservation confirmed hotel booking august statement available view download company com updates action needed payment scheduled,updates,medium,medium,medium
vip preview new arrivals celebrate entire purchase valid example com code welcome,promotions,low,medium,low
special offer favorite items back wait example com use code flash,promotions,low,low,low
early access summer sale start celebrate entire purchase valid example com code vip,promotions,low,low,low
scheduled maintenance dec pst car rental new hours effective immediately sep pst assignment confirmed manage booking company com updates,updates,medium,medium,medium
appointment reminder haircut aug gmt activated per request learn company com updates,updates,medium,medium,medium
authentication token use verification code device samsung galaxy location los angeles,verify_code,low,high,low
refund confirmation dear winner email annual lottery click phishing site com claim hrs expire unsubscribe,spam,medium,low,medium
forum contest photo contest user datawiz post forum com thread,forum,low,low,low
paypal egift card loyal customers immediate action required subscription payment failed update payment phishing site com call support,spam,medium,low,medium
new follower john smith view profile platform com users sarah accept reject social com friends pending,social_media,low,low,low
netflix inquiry dear winner email annual lottery click phishing site com claim hrs expire unsubscribe,spam,low,low,low
forum digest webdev discussions event starts time prepare wiki site page,forum,low,low,low
live product launch keynote group photography group live streaming join social com live conference,social_media,low,low,low
paypal egift card loyal customers invoice inv ready view phishing site com dispute within hrshrs,spam,medium,low,medium
